iter	Passed	Remaining
399	102436	25609
400	102691	25352
401	102940	25095
402	103196	24838
403	103454	24583
404	103703	24325
405	103957	24069
406	104208	23811
407	104458	23554
408	104714	23298
409	104972	23042
410	105222	22785
411	105476	22528
412	105734	22273
413	105987	22016
414	106235	21758
415	106492	21503
416	106746	21246
417	107012	20992
418	107268	20736
419	107528	20481
420	107780	20224
421	108035	19968
422	108285	19711
423	108526	19452
424	108783	19197
425	109025	18938
426	109274	18681
427	109523	18424
428	109781	18168
429	110033	17912
430	110283	17655
431	110542	17400
432	110789	17142
433	111047	16887
434	111291	16629
435	111545	16373
436	111804	16118
437	112054	15861
438	112304	15604
439	112556	15348
440	112802	15091
441	113066	14836
442	113341	14583
443	113601	14328
444	113867	14073
445	114122	13817
446	114379	13561
447	114645	13307
448	114895	13050
449	115152	12794
450	115407	12538
451	115665	12283
452	115914	12026
453	116161	11769
454	116417	11513
455	116682	11258
456	116937	11002
457	117185	10746
458	117430	10489
459	117681	10233
460	117955	9978
461	118208	9722
462	118472	9467
463	118723	9211
464	118975	8955
465	119225	8698
466	119473	8442
467	119735	8187
468	119994	7931
469	120251	7675
470	120493	7418
471	120748	7163
472	121002	6907
473	121259	6651
474	121520	6395
475	121769	6139
476	122029	5884
477	122286	5628
478	122538	5372
479	122775	5115
480	123036	4860
481	123282	4603
482	123538	4348
483	123794	4092
484	124043	3836
485	124288	3580
486	124545	3324
487	124800	3068
488	125061	2813
489	125314	2557
490	125569	2301
491	125819	2045
492	126064	1789
493	126309	1534
494	126552	1278
495	126811	1022
496	127062	766
497	127329	511
498	127599	255
499	127865	0
