iter	PRAUC	Logloss
370	0.8604370564	0.2914520936
371	0.8604671773	0.2914485979
372	0.8605418463	0.2914438677
373	0.8605843025	0.2914405112
374	0.8606214387	0.2914380767
375	0.8606324637	0.2914351435
376	0.8606617561	0.2914305958
377	0.8606657405	0.291428129
378	0.8606811114	0.2914252343
379	0.860695377	0.2914215916
380	0.8607620844	0.2914182875
381	0.8607775759	0.291414968
382	0.860784322	0.2914132925
383	0.8608182716	0.2914089853
384	0.8608341147	0.2914060638
385	0.8608702052	0.2914029209
386	0.8608873643	0.2913991784
387	0.8609072807	0.2913965176
388	0.8609149261	0.2913934529
389	0.8609327954	0.2913909024
390	0.8609613085	0.2913881297
391	0.8610075866	0.2913850836
392	0.8610078308	0.2913821909
393	0.8610351844	0.291380479
394	0.8610396475	0.2913778807
395	0.8610594224	0.2913750381
396	0.8610877884	0.2913717612
397	0.8610979936	0.2913684152
398	0.8611404997	0.291364684
399	0.8611925676	0.2913605649
400	0.8612108264	0.2913584009
401	0.8612364811	0.2913546625
402	0.861247389	0.2913519787
403	0.8612686665	0.2913498748
404	0.8612807001	0.2913473405
405	0.8612846976	0.2913456645
406	0.861292784	0.2913411933
407	0.8613147053	0.2913371722
408	0.8613448436	0.2913342513
409	0.8613601927	0.2913308592
410	0.8613948706	0.2913271561
411	0.8614072243	0.2913250904
412	0.8614400901	0.2913223785
413	0.8614399767	0.2913203261
414	0.861454158	0.2913177689
415	0.8614642774	0.2913144838
416	0.861497622	0.2913120727
417	0.8615301117	0.2913082622
418	0.8615535553	0.2913051776
419	0.8615860325	0.2913022683
420	0.8616244512	0.2912996602
421	0.8616419577	0.2912969758
422	0.8616623404	0.2912937992
423	0.8616865939	0.2912901694
424	0.8617042997	0.2912880306
425	0.8617216365	0.2912850195
426	0.8617303664	0.2912822117
427	0.8617512092	0.2912782809
428	0.8617600469	0.2912751447
429	0.8617657974	0.2912698644
430	0.861775671	0.2912676456
431	0.8617909068	0.2912651447
432	0.8618023563	0.2912626164
433	0.861853406	0.2912590287
434	0.8618514729	0.2912564981
435	0.8618722378	0.29125363
436	0.8618899064	0.291249431
437	0.861906885	0.2912453319
438	0.8619269975	0.2912410146
439	0.8619370473	0.2912383991
440	0.8619653978	0.2912341094
441	0.8620031886	0.2912311453
442	0.8620256626	0.2912271223
443	0.8620266491	0.2912252249
444	0.862030577	0.2912231977
445	0.8620606865	0.2912198525
446	0.862070748	0.2912168404
447	0.8621018768	0.2912147712
448	0.8621178275	0.2912116199
449	0.862122058	0.2912098382
450	0.8621325056	0.2912071336
451	0.8621391493	0.2912041543
452	0.8621573166	0.2912013155
453	0.8621986807	0.2911984518
454	0.8622159178	0.2911963927
455	0.8622272624	0.2911928365
456	0.8622286703	0.2911897659
457	0.8622612493	0.2911858324
458	0.8622739827	0.2911839606
459	0.862289166	0.2911816399
460	0.8623021453	0.2911780404
461	0.8623326	0.2911748225
462	0.8623611303	0.2911723672
463	0.8623668803	0.2911680778
464	0.8623774853	0.2911651736
465	0.8623857027	0.2911630233
466	0.862391252	0.2911610456
467	0.8624138561	0.2911585874
468	0.8624614099	0.2911553062
469	0.862472775	0.2911523068
470	0.862472896	0.2911505998
471	0.8624962055	0.2911471302
472	0.8625356354	0.2911440693
473	0.862561029	0.2911403031
474	0.8625698472	0.2911384688
475	0.862577815	0.2911357639
476	0.8626025155	0.2911331131
477	0.8626076117	0.2911303222
478	0.8626184206	0.2911281201
479	0.8626603556	0.2911248209
480	0.8626648065	0.2911218617
481	0.862676352	0.2911201828
482	0.8626824073	0.2911174354
483	0.862699907	0.2911139069
484	0.8627551894	0.2911106749
485	0.862788586	0.2911077595
486	0.8628058113	0.2911055303
487	0.8628263234	0.2911039063
488	0.8628675311	0.291100389
489	0.8628746876	0.2910972076
490	0.8628825764	0.2910942646
491	0.8628961779	0.2910909169
492	0.8629029598	0.2910879016
493	0.8629240864	0.2910835365
494	0.8629874419	0.2910804561
495	0.8630108299	0.2910767841
496	0.8630223721	0.2910747424
497	0.8630252583	0.291072526
498	0.8630324372	0.2910706359
499	0.8630398356	0.2910674105
